Jugadores,Nac.,Edad,Club,Liga,Contrato,Opción de contrato,Valor de mercado,Posición,Agencia
Elian Pepinos,Ecuador,23,Imbabura SC,,2024,-,200 mil €,Mediocentro ofensivo,Vibra Fútbol
Sebastián Aranda,Perú,21,CD Unión Comercio,,2024,-,200 mil €,Lateral izquierdo,Vibra Fútbol
Flavio Alcedo,Perú,21,Universidad Técnica de Cajamarca,,2024,-,200 mil €,Defensa central,Vibra Fútbol
Nicolás Figueroa,Perú,22,Club Atlético Grau,,2024,-,200 mil €,Delantero centro,Vibra Fútbol
Kennan Sepúlveda,Chile,22,San Luis de Quillota,,-,-,200 mil €,Extremo izquierdo,Vibra Fútbol
Matías Colossi,Chile,23,AC Barnechea,,-,-,175 mil €,Extremo derecho,Vibra Fútbol
Diego Gutiérrez,"Canadá, Chile",27,Cavalry FC,,2025,Un año más por parte del club,175 mil €,Mediocentro,Vibra Fútbol
Franchesco Flores,Perú,23,Universidad César Vallejo,,2024,-,175 mil €,Mediocentro ofensivo,Vibra Fútbol
Bastián Ubal,Chile,22,AC Barnechea,,-,-,175 mil €,Defensa central,Vibra Fútbol
Juan Francisco Rossel,"Chile, Ecuador",19,CD Universidad Católica,,-,-,150 mil €,Mediocentro ofensivo,Vibra Fútbol
Diego Arias,Chile,24,Santiago Wanderers,,-,-,150 mil €,Delantero centro,Vibra Fútbol
Bairo Riveros,Chile,25,Unión San Felipe,,2024,-,150 mil €,Extremo izquierdo,Vibra Fútbol
Yahir Salazar,Chile,19,San Luis de Quillota,,2024,-,150 mil €,Lateral izquierdo,Vibra Fútbol
Valentino Sandoval,Perú,21,Club Alianza Lima II,,-,-,125 mil €,Mediocentro ofensivo,Vibra Fútbol
Martín Villarroel,Chile,23,Deportes La Serena,,-,-,125 mil €,Pivote,Vibra Fútbol
Erik Ottesen,Chile,21,AC Barnechea,,2025,-,125 mil €,Mediocentro,Vibra Fútbol
Gilmar Paredes,Perú,21,Club Sporting Cristal,,2024,-,125 mil €,Lateral derecho,Vibra Fútbol
Walter Ponce,Chile,26,Unión La Calera,,2024,-,100 mil €,Delantero centro,Vibra Fútbol
Gabriel Alfaro,Perú,21,Comerciantes Unidos,,2024,-,100 mil €,Lateral izquierdo,Vibra Fútbol
Jack Carhuallanqui,Perú,20,CD Unión Comercio,,-,-,100 mil €,Pivote,Vibra Fútbol
Nicolás Aedo,Chile,23,Audax Italiano,,2025,-,100 mil €,Mediocentro ofensivo,Vibra Fútbol
Ángel de la Cruz,Perú,22,Club Alianza Lima,,2024,-,100 mil €,Portero,Vibra Fútbol
Cristopher Toselli,"Chile, Italia",36,Universidad de Chile,,-,-,100 mil €,Portero,Vibra Fútbol
Álvaro Rojas,Perú,19,Universitario de Deportes,,2024,-,100 mil €,Mediocentro,Vibra Fútbol
Junior Fernandes,"Chile, Brasil",36,Esenler Erokspor,2.Liga Turquía,2025,-,75 mil €,Delantero centro,Vibra Fútbol
Ángelo Quiñones,Chile,26,Unión San Felipe,,-,-,75 mil €,Mediocentro,Vibra Fútbol
Farihd Ortega,Perú,20,Deportivo Coopsol,,-,-,75 mil €,Lateral izquierdo,Vibra Fútbol
Daniel Monardes,Chile,24,Deportes La Serena,,-,-,75 mil €,Mediocentro,Vibra Fútbol
José López,Perú,21,Comerciantes FC,,2024,-,75 mil €,Extremo derecho,Vibra Fútbol
Alberto Letelier,Chile,20,CD O'Higgins,,-,-,75 mil €,Mediocentro ofensivo,Vibra Fútbol
Víctor Espinoza,Chile,25,Santiago Wanderers,,-,-,75 mil €,Defensa central,Vibra Fútbol
Axel Cerda,Chile,18,CD Universidad Católica U21,,-,-,50 mil €,Delantero centro,Vibra Fútbol
Javier Quiñones,Chile,22,Audax Italiano,,2024,-,50 mil €,Delantero centro,Vibra Fútbol
Gian García,Perú,19,FBC Melgar,,-,-,50 mil €,Mediocentro ofensivo,Vibra Fútbol
Iván Garrido,Chile,20,Curicó Unido U21,,-,-,25 mil €,Mediocentro ofensivo,Vibra Fútbol
Jesús Huamán,Perú,18,Sport Boys Association,,-,-,25 mil €,Extremo izquierdo,Vibra Fútbol
Cristóbal Jorquera,Chile,36,CD Magallanes,,2024,-,25 mil €,Mediocentro ofensivo,Vibra Fútbol
Rodrigo Olivares,Chile,19,Universidad de Concepción,,-,-,25 mil €,Extremo derecho,Vibra Fútbol
David Chicoma,Perú,18,Carlos A. Mannucci,,2024,-,25 mil €,Mediocentro ofensivo,Vibra Fútbol
Humberto Suazo,Chile,43,San Luis de Quillota,,-,-,10 mil €,Delantero centro,Vibra Fútbol
Milan Tudor,"Chile, Croacia",20,CD Universidad Católica U21,,-,-,-,Delantero centro,Vibra Fútbol
Francisco Bustamante,Perú,24,Ecosem Pasco,,-,-,-,Extremo derecho,Vibra Fútbol
Diego Bravo,Chile,22,CCD Arturo Fernández Vial,,-,-,-,Mediocentro ofensivo,Vibra Fútbol
Agustín Arce,Chile,19,San Luis de Quillota,,2024,-,-,Mediocentro ofensivo,Vibra Fútbol
Luis Muñoz,Chile,20,CCD Arturo Fernández Vial,,2024,-,-,Pivote,Vibra Fútbol
Matías Jiménez,Chile,18,CD Palestino U21,,-,-,-,Extremo izquierdo,Vibra Fútbol
Kevin Mina,Ecuador,18,CS Emelec U20,,-,-,-,Delantero centro,Vibra Fútbol
Benjamín Martínez,Chile,20,CD Huachipato U21,,-,-,-,Mediocentro ofensivo,Vibra Fútbol
Gabriel Pinto,Chile,19,Deportes Limache,,2024,-,-,Pivote,Vibra Fútbol
Miguel Toledo,Chile,20,CSD Colo Colo U21,,-,-,-,Defensa central,Vibra Fútbol
Matías Pinto,Chile,20,CSD Colo Colo U21,,-,-,-,Lateral derecho,Vibra Fútbol
Joan Orellana,Chile,19,CR Flamengo U20,,2024,Opción de compra,-,Mediocentro ofensivo,Vibra Fútbol
Jems Tenorio,Perú,19,Universitario de Deportes II,,-,-,-,Extremo derecho,Vibra Fútbol
Lucas Velásquez,Chile,18,CD Huachipato U21,,-,-,-,Lateral izquierdo,Vibra Fútbol
Benjamín Ampuero,Chile,18,CD Huachipato U21,,-,-,-,Pivote,Vibra Fútbol
Alejandro Hales,Chile,18,CD Palestino U21,,-,-,-,Delantero centro,Vibra Fútbol
Edu Arboleda,Ecuador,18,SD Aucas U20,,-,-,-,Lateral derecho,Vibra Fútbol
Dylan Luque,Ecuador,18,Barcelona SC Guayaquil U20,,-,-,-,Lateral izquierdo,Vibra Fútbol
Byron Torres,Chile,19,CD Santiago Morning U20,,-,-,-,Mediocentro ofensivo,Vibra Fútbol
Josué Reinatti,Argentina,21,CA Newell's Old Boys,,2026,-,-,Portero,Vibra Fútbol
