Player;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK
Jonathan Benítez;ar ARG;FW,MF;Palestino;Primera Division Chile;31;1991;26;21;1675;186;3;4;7;3;0;0;5;2;16;21;38;16;38
Hernán Lopes;ar ARG;DF;La Calera;Primera Division Chile;31;1991;21;18;1667;185;1;0;1;1;0;0;7;1;5;0;5;5;5
Ronald de la Fuente;cl CHI;DF,MF;Curico Unido;Primera Division Chile;32;1991;19;19;1665;185;0;1;1;0;0;0;5;0;0;5;5;0;5
Rodrigo Piñeiro;uy URU;MF,FW;Unión Española;Primera Division Chile;23;1999;21;19;1647;183;11;3;14;11;0;0;4;0;60;16;77;60;77
Brian Torrealba;cl CHI;DF;O'Higgins;Primera Division Chile;25;1997;20;18;1642;182;1;0;1;1;0;0;4;0;5;0;5;5;5
Fernando Juárez;ar ARG;MF;Audax Italiano;Primera Division Chile;24;1998;20;19;1634;182;0;0;0;0;0;0;12;1;0;0;0;0;0
Nicolás Fernández;cl CHI;DF,MF;Audax Italiano;Primera Division Chile;23;1999;24;20;1618;180;0;3;3;0;0;0;2;1;0;17;17;0;17
Federico Mateos;ar ARG;MF;U de Chile;Primera Division Chile;29;1993;20;18;1617;180;2;2;4;2;0;0;8;0;11;11;22;11;22
Leonardo Gil;ar ARG;MF;Colo-Colo;Primera Division Chile;31;1991;22;20;1607;179;3;4;7;3;0;0;4;1;17;22;39;17;39
Marcelo Díaz;cl CHI;MF;Audax Italiano;Primera Division Chile;36;1986;21;20;1601;178;0;1;1;0;0;0;2;0;0;6;6;0;6
Carlos Palacios;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;23;17;1597;177;7;3;10;4;3;3;3;1;39;17;56;23;39
Javier Urzúa;cl CHI;MF,FW;Huachipato;Primera Division Chile;23;1999;18;18;1595;177;3;4;7;3;0;0;5;1;17;23;39;17;39
Marcelo Morales;cl CHI;MF,DF;U de Chile;Primera Division Chile;19;2003;20;18;1595;177;0;7;7;0;0;0;8;0;0;39;39;0;39
Jorge Espejo;cl CHI;MF,DF;Everton;Primera Division Chile;22;2000;25;19;1585;176;1;1;2;1;0;0;4;0;6;6;11;6;11
Juan Pablo Gómez;ar ARG;MF,DF;U de Chile;Primera Division Chile;31;1991;25;19;1583;176;0;1;1;0;0;0;2;0;0;6;6;0;6
Oliver Rojas;cl CHI;DF,MF;Audax Italiano;Primera Division Chile;22;2000;26;15;1569;174;1;2;3;1;0;0;4;1;6;11;17;6;17
César Pinares;cl CHI;MF,FW;Univ Católica;Primera Division Chile;31;1991;21;18;1556;173;2;5;7;2;0;0;2;0;12;29;40;12;40
Diego Céspedes;cl CHI;DF;Cobresal;Primera Division Chile;24;1998;20;17;1552;172;0;1;1;0;0;0;6;1;0;6;6;0;6
Sebastián Leyton;cl CHI;MF;Unión Española;Primera Division Chile;29;1993;23;19;1545;172;0;1;1;0;0;0;7;2;0;6;6;0;6
Alfonso Parot;cl CHI;DF;Univ Católica;Primera Division Chile;33;1989;26;16;1545;172;0;0;0;0;0;0;8;1;0;0;0;0;0
Érick Wiemberg;cl CHI;DF;Colo-Colo;Primera Division Chile;28;1994;20;18;1542;171;2;1;3;2;0;0;1;0;12;6;18;12;18
Michael Fuentes;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;24;17;1536;171;1;1;2;1;0;0;6;2;6;6;12;6;12
Vicente Pizarro;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;24;20;1532;170;2;0;2;2;0;0;2;0;12;0;12;12;12
Felipe Reynero;cl CHI;MF;Deportes Copiapó;Primera Division Chile;33;1989;23;17;1532;170;0;3;3;0;0;0;4;0;0;18;18;0;18
Manuel Rivera;cl CHI;MF;Ñublense;Primera Division Chile;26;1996;22;18;1532;170;0;2;2;0;0;0;9;1;0;12;12;0;12
Antonio Díaz;cl CHI;MF,DF;O'Higgins;Primera Division Chile;22;2000;21;18;1526;170;2;1;3;2;0;0;5;1;12;6;18;12;18
Damián Pizarro;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;22;16;1503;167;6;4;10;5;1;1;4;0;36;24;60;30;54
Matías Cahais;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;17;17;1497;166;0;1;1;0;0;0;2;1;0;6;6;0;6
Gastón Lezcano;ar ARG;FW,MF;Cobresal;Primera Division Chile;36;1986;28;16;1488;165;10;6;16;10;0;0;1;0;60;36;97;60;97
Bayron Oyarzo;cl CHI;FW,MF;Ñublense;Primera Division Chile;26;1996;25;16;1486;165;1;1;2;1;0;0;1;0;6;6;12;6;12
Agustín Ortiz;cl CHI;DF;Deportes Copiapó;Primera Division Chile;24;1999;20;17;1481;165;1;1;2;1;0;0;6;1;6;6;12;6;12
Cristián Riquelme;cl CHI;MF,DF;Everton;Primera Division Chile;19;2003;25;19;1463;163;1;0;1;1;0;0;8;0;6;0;6;6;6
Fernando Meza;ar ARG;DF;Palestino;Primera Division Chile;32;1990;20;18;1461;162;0;1;1;0;0;0;2;0;0;6;6;0;6
Brayan Rovira;co COL;MF;Univ Católica;Primera Division Chile;26;1996;21;16;1459;162;0;5;5;0;0;0;4;0;0;31;31;0;31
